,A_Angle,B_Angle_sign,C_Masker,D_SNR,E_Talker,FG_Static,F_Sentence_ID,G_Sentence,H_Response,I_Input_1,J_Input_2,K_Input_3,L_Input_4,M_Input_5,Correct,Total,Percent
0,-180,-1,46,-6,1,FALSE,6-Aug,the BRIDE WORE a WHITE GOWN,,0,0,0,0,,0,4,0
1,180,1,36,-3,2,FALSE,24-Jan,my SON HAS a DOG for a PET,,0,0,0,0,,0,4,0
2,-90,-1,155,-3,0,FALSE,7-Aug,i CANNOT GUESS so GIVE me a HINT,FINGERTIPS,0,0,0,0,,0,4,0
3,0,1,130,-6,1,TRUE,6-May,he WIPED the SINK with a SPONGE,THOUUGH WHY I AM DOING IT I DONT KNOW,0,0,0,,,0,3,0
4,0,1,59,-3,1,FALSE,17-Jun,we GOT DRUNK in the LOCAL BAR,THE ROPE BROKE,0,0,0,0,,0,4,0
5,0,1,131,-6,1,FALSE,25-Feb,the FARMER BALED the HAY,,0,0,0,,,0,3,0
6,0,-1,116,0,1,FALSE,12-Apr,how DID your CAR GET that DENT,HOW DID YOUR CAR GET THAT DENT,1,1,1,1,,4,4,1
7,180,1,95,0,3,FALSE,21-Feb,the DOOR WAS OPENED just a CRACK,THE DOOR WAS OPEN,1,1,0,0,,2,4,0.5
8,-90,-1,133,0,3,FALSE,8-Apr,TREE TRUNKS ARE COVERED with BARK,TREE TRUNK COVERED IN BARK,1,0,0,1,1,3,5,0.6
9,0,1,32,0,3,TRUE,2-Mar,how MUCH CAN I BUY for a DIME,,0,0,0,0,0,0,5,0
10,90,1,54,-6,1,FALSE,15-Mar,the BOY GAVE the FOOTBALL a KICK,,0,0,0,0,,0,4,0
11,0,1,58,-3,2,TRUE,3-May,the MOUSE WAS CAUGHT in the TRAP,YELLOW SMOKE,0,0,0,0,,0,4,0
12,180,1,162,-3,2,FALSE,14-Jan,the SCARF WAS MADE of SHINY SILK,,0,0,0,0,0,0,5,0
13,-180,-1,29,-6,1,FALSE,7-Jun,DROP the COIN through the SLOT,,0,0,0,,,0,3,0
14,0,-1,177,0,2,TRUE,14-Feb,the SPORT SHIRT HAS SHORT SLEEVES,,0,0,0,0,0,0,5,0
15,0,-1,86,-3,2,TRUE,25-Jun,FOOTBALL IS a DANGEROUS SPORT,HE PULLED JOSH INTO THE OPENING,0,0,0,0,,0,4,0
16,-90,-1,154,0,2,FALSE,21-Mar,the LONELY BIRD SEARCHED for its MATE,THE LONELY BIRD,1,1,0,0,,2,4,0.5
17,0,-1,39,-3,0,FALSE,7-Mar,the GIRL SWEPT the FLOOR with a BROOM,THE GIRL,1,0,0,0,,1,4,0.25
18,0,-1,117,-6,3,FALSE,12-Jul,the COOKIES WERE KEPT in a JAR,,0,0,0,0,,0,4,0
19,0,1,43,0,3,FALSE,24-Feb,FOLLOW this ROAD around the BEND,FOLLOW THE ROAD DOWN,1,1,0,,,2,3,0.666666667
20,0,1,181,-6,0,TRUE,15-Jul,JOHNs FRONT TOOTH HAD a CHIP,I DONT KNOW WHAT TO DO,0,0,0,0,0,0,5,0
21,-90,-1,6,-3,0,FALSE,15-Jan,the SUPER HIGHWAY HAS SIX LANES,,0,0,0,0,0,0,5,0
22,-90,-1,109,-6,0,FALSE,23-Jul,CUT the BACON into STRIPS,STRIPS,0,0,1,,,1,3,0.333333333
23,-180,-1,19,0,3,FALSE,23-Apr,her ENTRY SHOULD WIN FIRST PRIZE,SURPRISE,0,0,0,0,0,0,5,0
24,0,-1,15,0,1,TRUE,5-Jun,the SLEEPY CHILD TOOK a NAP,THE SLEEPY CHILD TOOK A NAP,1,1,1,1,,4,4,1
25,0,-1,190,-3,1,TRUE,12-Mar,the TEACHER SAT on a SHARP TACK,I DO FACE FACTS,0,0,0,0,,0,4,0
26,-90,-1,100,-3,1,FALSE,24-May,the BANDITS ESCAPED from JAIL,,0,0,0,,,0,3,0
27,90,1,72,-6,1,FALSE,20-Mar,the SOUP WAS SERVED in a BOWL,,0,0,0,0,,0,4,0
28,-180,-1,22,-3,2,FALSE,15-Feb,she SHORTENED the HEM of her SKIRT,,0,0,0,,,0,3,0
29,0,1,173,0,3,FALSE,14-Apr,the TEAM WAS TRAINED by their COACH,THE TEAM WAS TRAINED BY THE COACH,1,1,1,1,,4,4,1
30,-180,-1,20,0,1,FALSE,5-Feb,WIPE your GREASY HANDS on the RAG,ON THE RAG,0,0,0,1,,1,4,0.25
