,A_Angle,B_Angle_sign,C_Masker,D_SNR,E_Talker,FG_Static,F_Sentence_ID,G_Sentence,H_Response,I_Input_1,J_Input_2,K_Input_3,L_Input_4,M_Input_5,Correct,Total,Percent
0,0,-1,128,-3,2,TRUE,17-Mar,MR. BROWN CARVED the ROAST BEEF,LEANED AGAINST A CRUSHED BOOK,0,0,0,0,0,0,5,0
1,0,-1,99,0,0,FALSE,11-Jul,TIGHTEN the BELT by a NOTCH,TITAN WAS BUILT BY A NOTCH,0,0,1,,,1,3,0.333333333
2,0,-1,54,0,1,TRUE,9-Apr,the MEAT from a PIG IS CALLED PORK,HOW DO YOU KNOW,0,0,0,0,0,0,5,0
3,0,-1,65,-3,0,FALSE,12-Feb,RUTH POURED the WATER down the DRAIN,HE POURED THE WATER DOWN THE DRAIN,0,1,1,1,,3,4,0.75
4,-90,-1,81,0,3,FALSE,12-Aug,DAVID WIPED the SWEAT from his BROW,BRAWL,0,0,0,0,,0,4,0
5,-180,-1,146,0,2,FALSE,11-Mar,USE this SPRAY to KILL the BUGS,USE THIS SPRAY TO KILL THE BUGS,1,1,1,1,,4,4,1
6,0,-1,196,-6,1,TRUE,3-Apr,the DUCK SWAM with the WHITE SWAN,RESPOND,0,0,0,0,,0,4,0
7,90,1,15,-6,0,FALSE,9-Feb,BOB STOOD with his HANDS on his HIPS,BOMBS SAY ROOK,0,0,0,0,,0,4,0
8,90,1,18,-3,0,FALSE,16-May,the SWIMMER DOVE into the POOL,THE MINERAL POURED,0,0,0,,,0,3,0
9,-180,-1,103,-3,3,FALSE,18-Apr,SPREAD SOME BUTTER on your BREAD,PICKLE,0,0,0,0,,0,4,0
10,0,-1,102,-6,2,FALSE,14-Mar,he TOSSED the DROWNING MAN a ROPE,THE DROWNING MAN ANTELOPE,0,1,1,0,,2,4,0.5
11,180,1,169,-6,0,FALSE,7-Jan,HOLD the BABY on your LAP,HOLD THE BABY UP,1,1,0,,,2,3,0.666666667
12,-180,-1,94,-3,0,FALSE,8-Apr,TREE TRUNKS ARE COVERED with BARK,TREE TRUNK LASH,1,0,0,0,0,1,5,0.2
13,0,-1,69,-6,0,FALSE,9-Jun,the WIDOWs SOB EXPRESSED her GRIEF,THE WINDOW SOBBED ,0,0,0,0,,0,4,0
14,-180,-1,161,0,1,FALSE,13-Jul,the MARKSMAN TOOK CAREFUL AIM,THE MARKSMAN TOOK CAREFUL AIM,1,1,1,1,,4,4,1
15,90,1,134,0,2,FALSE,7-May,the PAPERS WERE HELD by a CLIP,THE PAPERS WERE HELD WIDE OPEN,1,1,1,0,,3,4,0.75
16,0,1,36,0,3,TRUE,23-Jan,no one WAS INJURED in the CRASH,EGGS FOUL AND STENCH,0,0,0,,,0,3,0
17,-180,-1,10,-6,3,FALSE,21-Jul,AIRMAIL REQUIRES a SPECIAL STAMP,AMINO ACIDS,0,0,0,0,,0,4,0
18,0,1,95,-6,0,TRUE,23-Feb,HOUSEHOLD GOODS ARE MOVED in a VAN,THE ROOF,0,0,0,0,0,0,5,0
19,0,-1,43,-3,0,TRUE,4-Apr,your KNEES and your ELBOWS ARE JOINTS,THE RAIN,0,0,0,0,,0,4,0
20,0,1,162,0,3,FALSE,11-Jun,he WAS HIT by a POISONED DART,BY OPPOSING DARTS,0,0,0,0,,0,4,0
21,-90,-1,39,-3,2,FALSE,24-Jul,THROW OUT all this USELESS JUNK,OVERWHELMED BY,0,0,0,0,,0,4,0
22,90,1,66,-6,3,FALSE,17-Apr,the BREAD WAS MADE from WHOLE WHEAT,THE MOON WEEKEND,0,0,0,0,0,0,5,0
23,0,-1,199,-3,2,FALSE,8-Aug,our SEATS WERE in the SECOND ROW,OVER THE ROAD,0,0,0,0,,0,4,0
24,-90,-1,141,-3,0,FALSE,24-Aug,CUT the MEAT into SMALL CHUNKS,IN SMALL CHUNKS,0,0,1,1,,2,4,0.5
25,-180,-1,63,-6,2,FALSE,5-May,the FIREMAN HEARD her FRIGHTENED SCREAM,MISSIG,0,0,0,0,,0,4,0
26,0,1,56,0,2,TRUE,1-Mar,KILL the BUGS with this SPRAY,COILED THE BUG SPRAY,0,0,1,,,1,3,0.333333333
27,-90,-1,186,0,0,FALSE,20-Mar,the SOUP WAS SERVED in a BOWL,THE SOUP WAS SERVED IN A BOWL,1,1,1,1,,4,4,1
28,0,-1,181,-6,1,FALSE,15-Mar,the BOY GAVE the FOOTBALL a KICK,THE BOWL WAS LIFELIKE,0,0,0,0,,0,4,0
29,-90,-1,74,-6,1,FALSE,14-Apr,the TEAM WAS TRAINED by their COACH,THE TEAM BUYER SPREE,1,0,0,0,,1,4,0.25
30,0,1,117,-3,0,TRUE,1-Jun,PLAYING CHECKERS CAN BE FUN,THE TREACHEROUS OAK,0,0,0,0,0,0,5,0
31,0,1,140,-3,2,FALSE,18-Jan,the RUDE REMARK MADE her BLUSH,THE PHONEBOOTH UP,0,0,0,0,,0,4,0
32,180,1,4,0,3,FALSE,19-Jan,we HEARD the TICKING of the CLOCK,OF THE CLOCK,0,0,1,,,1,3,0.333333333
33,0,-1,68,-6,1,TRUE,24-Jun,she HATED to VACUUM the RUG,SHE DUCKED,0,0,0,,,0,3,0
34,0,1,38,0,0,FALSE,19-May,BOB WORE a WATCH on his WRIST,BOB WORE A WATCH ON HIS WRIST,1,1,1,1,,4,4,1
35,-180,-1,149,-3,3,FALSE,19-Feb,the CAR DROVE off the STEEP CLIFF,WILD LOST FIB,0,0,0,0,,0,4,0
36,0,-1,60,-6,1,FALSE,25-May,the LANDLORD RAISED the RENT,THE CLAM WATCHED,0,0,0,,,0,3,0
37,0,-1,121,-3,1,TRUE,18-Mar,the GLASS HAD a CHIP on the RIM,THE CLOCK WAS RED,0,0,0,0,,0,4,0
38,-90,-1,112,-6,0,FALSE,15-Aug,the DROWNING MAN LET OUT a YELL,THE RUBBER MAN STOLE,0,1,0,0,0,1,5,0.2
39,0,-1,155,-6,3,TRUE,23-May,a CHIMPANZEE IS an APE,,0,0,0,,,0,3,0
40,90,1,44,0,0,FALSE,12-Jul,the COOKIES WERE KEPT in a JAR,COOKIES WERE KEPT IN A JAR,1,1,1,1,,4,4,1
41,180,1,19,0,1,FALSE,6-Jul,they PLAYED a GAME of CAT and MOUSE,THEY PLAYED A GAME OF CAT AND MOUSE,1,1,1,1,,4,4,1
42,90,1,62,-3,3,FALSE,25-Jul,the SHIPWRECKED SAILORS BUILT a RAFT,SOUP SPOON FOREVER,0,0,0,0,,0,4,0
43,0,1,17,0,2,TRUE,9-May,the FUR COAT WAS MADE of MINK,THE NEED FOR COKE SEEMED TO WINK,0,0,0,0,0,0,5,0
44,180,1,84,-6,3,FALSE,3-Mar,we SHIPPED the FURNITURE by TRUCK,SOMETHING PARTIAL,0,0,0,,,0,3,0
45,-180,-1,131,-3,0,FALSE,25-Jan,he WAS SCARED out of his WITS,THE STILL ON CRUTCHES,0,0,0,,,0,3,0
46,0,1,183,-3,1,FALSE,16-Apr,she WORE a FEATHER in her CAP,GONNA HAPPEN,0,0,0,,,0,3,0
47,0,1,3,0,0,FALSE,16-Mar,the STORM BROKE the SAILBOATs MAST,THE STORM BROKE THE SAILBOATS MAST,1,1,1,1,,4,4,1
48,90,1,147,-6,3,FALSE,24-May,the BANDITS ESCAPED from JAIL,THE SPANISH CRUCIBLE,0,0,0,,,0,3,0
49,-90,-1,170,-3,2,FALSE,11-Apr,we SAW a FLOCK of WILD GEESE,THE RESET FLIES KNEES,0,0,0,0,,0,4,0
50,180,1,152,-3,3,FALSE,2-Jan,STIR your COFFEE with a SPOON,SLOWLY LOVE SOMEBODY,0,0,0,,,0,3,0
51,0,-1,29,-6,0,TRUE,12-Mar,the TEACHER SAT on a SHARP TACK,STOP SHARP OCCUR,0,0,1,0,,1,4,0.25
52,0,-1,6,-3,0,FALSE,19-Jul,how LONG CAN you HOLD your BREATH,THE NEW WHOLES BETH,0,0,0,0,,0,4,0
53,0,-1,93,-3,1,TRUE,6-Aug,the BRIDE WORE a WHITE GOWN,THE GAR OAR HEYAR,0,0,0,0,,0,4,0
54,0,-1,177,0,1,FALSE,1-Jan,his PLANS MEANT TAKING a BIG RISK,HIS PLANS MEANT TAKING A BIG RISK,1,1,1,1,1,5,5,1
55,180,1,31,0,1,FALSE,11-May,EVE WAS MADE from ADAMs RIB,EVE WAS MADE FROM ADAMS RIB,1,1,1,1,1,5,5,1
56,0,1,71,0,3,TRUE,4-Jul,PAUL TOOK a BATH in the TUB,PAUL TOOK A BATH IN THE TUB,1,1,1,1,,4,4,1
57,180,1,110,-6,2,FALSE,10-Feb,the CIGARETTE SMOKE FILLED his LUNGS,A CIGARETTE SMOKE CLOUD,1,1,0,0,,2,4,0.5
58,0,-1,176,-6,0,FALSE,10-Jun,the CANDLE FLAME MELTED the WAX,THE ALPHA MALE RATS,0,0,0,0,,0,4,0
59,90,1,144,0,0,FALSE,23-Apr,her ENTRY SHOULD WIN FIRST PRIZE,HER ENTRY SHOULD WIN FIRST PRIZE,1,1,1,1,1,5,5,1
60,90,1,195,-3,0,FALSE,17-Jul,our CAT IS GOOD at CATCHING MICE,POWERPUFF GIRLS MICE,0,0,0,0,1,1,5,0.2
61,0,-1,89,0,1,FALSE,18-May,the HOUSE WAS ROBBED by a THIEF,THE HOUSE WAS ROBBED BY A THIEF,1,1,1,1,,4,4,1
62,0,-1,122,-6,1,TRUE,3-May,the MOUSE WAS CAUGHT in the TRAP,WAS SACKED IN THE BACK,0,1,0,0,,1,4,0.25
63,180,1,20,0,0,FALSE,11-Aug,the SHEPHERD WATCHED his FLOCK of SHEEP,THE SHEPHERD WATCHED HIS FLOCK OF SHEEP,1,1,1,1,,4,4,1
64,0,-1,32,-3,0,FALSE,22-Jun,the BLOODHOUND FOLLOWED the TRAIL,THE BLUE COP WAS TRIED,0,0,0,,,0,3,0
65,-180,-1,159,-6,1,FALSE,9-Jul,a BEAR HAS a THICK COAT of FUR,THE MARIGOLD WAS OVER,0,0,0,0,0,0,5,0
66,0,-1,189,-6,1,FALSE,2-Apr,the WORKERS ARE DIGGING a DITCH,THE WORKERS ARE TAKING TEACH,1,1,0,0,,2,4,0.5
67,90,1,188,0,1,FALSE,2-Aug,i CUT my FINGER with a KNIFE,JUST CUT MY FINGER WITH A KNIFE,1,1,1,,,3,3,1
68,-90,-1,192,-6,0,FALSE,15-Jun,the CANDLE BURNED with a BRIGHT FLAME,THE CANTELBOWER WAS AFLAME,0,0,0,0,,0,4,0
69,0,1,167,-3,3,TRUE,8-Jul,the CROOK ENTERED a GUILTY PLEA,THE COLD WIN EYESORE,0,0,0,0,,0,4,0
70,-180,-1,178,-3,1,FALSE,13-Feb,this NOZZLE SPRAYS a FINE MIST,THIS SAUCE IS FAKING FUPPENCE,0,0,0,0,,0,4,0
71,0,1,198,0,1,TRUE,22-Feb,the SAND WAS HEAPED in a PILE,THE CHANGE WAS HEAPED IN A PILE,0,1,1,1,,3,4,0.75
72,180,1,174,0,3,FALSE,15-Apr,i HAVE GOT a COLD and a SORE THROAT,I HAVE GOT A COLD DEAD SORE THROAT,1,1,1,1,1,5,5,1
73,-90,-1,164,-6,0,FALSE,24-Mar,he HIT me with a CLENCHED FIST,IT WAS A DICTATORFEST,0,0,0,,,0,3,0
74,-90,-1,101,-3,1,FALSE,14-Jun,the FRUIT WAS SHIPPED in WOODEN CRATES,THE SHIP WAS FACE,0,1,0,0,0,1,5,0.2
75,-180,-1,165,-6,3,FALSE,12-Jun,RUTH HAD a NECKLACE of GLASS BEADS,THE COLD SINISTER HUSBAND,0,0,0,0,0,0,5,0
76,90,1,82,0,2,FALSE,3-Jan,the PLOW WAS PULLED by an OX,THE PLOW WAS PULLED BY AN OX,1,1,1,1,,4,4,1
77,0,1,55,-6,3,FALSE,2-Mar,how MUCH CAN I BUY for a DIME,HOW MUCH CAP CAN I,1,1,1,0,0,3,5,0.6
78,-180,-1,148,-3,3,FALSE,13-Aug,the BAD NEWS CAME as a SHOCK,IT BLANKETED SALTS,0,0,0,0,,0,4,0
79,0,-1,184,0,1,TRUE,10-May,the BOY TOOK SHELTER in a CAVE,THE BARB LINED THE PLACES,0,0,0,0,,0,4,0
80,0,-1,104,0,3,FALSE,8-May,the CHICKS FOLLOWED the MOTHER HEN,THE CHICK FOLLOWED THE MOTHER HEN,0,1,1,1,,3,4,0.75
81,0,1,187,-6,2,TRUE,25-Feb,the FARMER BALED the HAY,THE OLD BOCK TRIAL,0,0,0,,,0,3,0
82,0,-1,132,-3,2,TRUE,13-Mar,the SAILOR SWABBED the DECK,SIEGLERS,0,0,0,,,0,3,0
83,0,-1,42,-3,0,FALSE,22-Jul,the BOTTLE WAS SEALED with a CORK,THE BOTTLE WAS SUBTLE OPEN,1,1,0,0,,2,4,0.5
84,90,1,48,-3,1,FALSE,4-May,the AIRPLANE WENT into a DIVE,THE AIRPLANE TOOK A DIVE,1,0,1,,,2,3,0.666666667
85,0,1,33,-6,3,FALSE,17-Feb,the SHIPs CAPTAIN SUMMONED his CREW,THE CHIPSTACK SUMMER TOO,0,0,0,0,,0,4,0
86,0,-1,28,0,0,TRUE,12-Apr,how DID your CAR GET that DENT,HOW DID YOU PAY THE RENT,1,0,0,0,,1,4,0.25
87,0,1,23,0,3,FALSE,22-Jan,we ARE LOST so LET us LOOK at the MAP,WE ARE LOST SO LET US CHECK THE MAP,1,1,1,0,1,4,5,0.8
88,90,1,108,-6,2,FALSE,19-Jun,the SICK CHILD SWALLOWED the PILL,THE IS WHY DRAWL MATTER,0,0,0,0,,0,4,0
89,180,1,30,-3,1,FALSE,15-Feb,she SHORTENED the HEM of her SKIRT,SHE SHOWED THE HEM OF HER SHIRT,0,1,1,,,2,3,0.666666667
90,0,-1,138,-6,3,TRUE,14-Jan,the SCARF WAS MADE of SHINY SILK,CRAWL TO THE ,0,0,0,0,0,0,5,0
91,0,1,160,-3,3,TRUE,8-Jan,the DOG CHEWED on a BONE,DO YOU DAWN AWAY,0,0,0,,,0,3,0
92,180,1,175,0,2,FALSE,7-Aug,i CANNOT GUESS so GIVE me a HINT,I CANNOT GUESS SO UNCLEAVED,1,1,0,0,,2,4,0.5
93,90,1,59,0,3,FALSE,7-Jun,DROP the COIN through the SLOT,DROP THE COIN THROUGH THE SLAT,1,1,0,,,2,3,0.666666667
94,0,1,12,-3,3,FALSE,15-Jan,the SUPER HIGHWAY HAS SIX LANES,DO TRAP ONASSIS,0,0,0,0,0,0,5,0
95,-180,-1,190,-6,1,FALSE,20-Jul,his BOSS MADE him WORK like a SLAVE,THE STRAWBERRY BOX WAS SAFE,0,0,0,0,,0,4,0
96,90,1,70,-3,1,FALSE,8-Feb,the DUCKS SWAM around on the POND,THE DUCK SWAM AROUND IN THE POND,0,1,1,,,2,3,0.666666667
97,-90,-1,86,-6,1,FALSE,24-Feb,FOLLOW this ROAD around the BEND,ILL FOLLOW THE SQUIRREL WITH THE BROWN EYES,1,0,0,,,1,3,0.333333333
98,0,1,124,-6,2,TRUE,18-Feb,the FLOOD TOOK a HEAVY TOLL,THE PLUG WAS IN THE BOOKSTORE,0,0,0,0,,0,4,0
99,180,1,7,0,3,FALSE,22-Mar,please WIPE your FEET on the MAT,THE MATERIAL ON THE BACK,0,0,0,,,0,3,0
100,0,1,57,-3,3,FALSE,4-Jan,the OLD TRAIN WAS POWERED by STEAM,THE TWISTED TWIST,0,0,0,0,0,0,5,0
101,180,1,127,-3,2,FALSE,6-Apr,the DETECTIVES SEARCHED for a CLUE,THE TALLMAN AT THE CIRCUS CAME HOME,0,0,0,,,0,3,0
102,0,1,156,-3,1,TRUE,20-May,the SECRET AGENT WAS a SPY,STICKS AND GEMS,0,0,0,0,,0,4,0
103,0,1,21,-6,3,FALSE,13-May,the JUDGE IS SITTING on the BENCH,THE JUDGE IS IN THE BOX,1,1,0,0,,2,4,0.5
104,-90,-1,166,0,3,FALSE,10-Apr,RUTH POURED herself a CUP of TEA,WHOSE PORTER POURED A CUP OF TEA,0,1,1,1,,3,4,0.75
105,0,1,133,0,2,TRUE,16-Feb,the GUESTS WERE WELCOMED by the HOST,YES A WELCOME BY THE HOST,0,0,0,1,,1,4,0.25
106,0,-1,80,0,2,FALSE,10-Aug,that JOB WAS an EASY TASK,THAT JOB WAS AN EASY TASK,1,1,1,1,,4,4,1
107,180,1,158,-6,1,FALSE,13-Jun,the SINGER WAS MOBBED by her FANS,THE BELL RANG FIVE TIMES,0,0,0,0,,0,4,0
108,90,1,106,-3,3,FALSE,21-Jan,MARY WORE her HAIR in BRAIDS,THE CORAL ROUND OAT,0,0,0,0,,0,4,0
109,180,1,35,-6,2,FALSE,25-Jun,FOOTBALL IS a DANGEROUS SPORT,THE TALLEST TREEE SPORES,0,0,0,0,,0,4,0
110,0,-1,34,-3,1,FALSE,14-May,CUT a PIECE of MEAT from the ROAST,THE DENIM SNORING WAS GROSS,0,0,0,0,,0,4,0
111,0,1,136,0,1,TRUE,16-Jan,for DESSERT he HAD APPLE PIE,FOR DESSERT HE HAD APPLE PIE,1,1,1,1,,4,4,1
112,-180,-1,109,-3,0,FALSE,5-Feb,WIPE your GREASY HANDS on the RAG,IT WAS TAN AND BLACK,0,0,0,0,,0,4,0
113,-180,-1,13,0,0,FALSE,3-Feb,the NATIVES BUILT a WOODEN HUT,THE NEIGHBORS BUILT A WOODEN HUT,0,1,1,1,,3,4,0.75
114,0,1,2,-3,3,TRUE,14-Jul,i ATE a PIECE of CHOCOLATE FUDGE,APPLES APPLES,0,0,0,0,,0,4,0
115,0,-1,139,0,0,FALSE,20-Jan,he KILLED the DRAGON with his SWORD,HE KILLED THE DRAGON WITH HIS SWORD,1,1,1,,,3,3,1
116,-90,-1,8,0,2,FALSE,1-Jul,you CUT the WOOD against the GRAIN,YOU CUT THE WOOD AGAINST THE GRAIN,1,1,1,,,3,3,1
117,90,1,45,-6,2,FALSE,11-Feb,the CUSHION WAS FILLED with FOAM,LOOK AT SHE WAS THINK FOR ME,0,1,0,0,,1,4,0.25
118,0,1,173,-6,3,FALSE,14-Feb,the SPORT SHIRT HAS SHORT SLEEVES,THE SHIRT HAD SHORT SLEEVES,0,1,0,1,1,3,5,0.6
119,0,-1,85,-6,3,TRUE,17-May,LET us INVITE the WHOLE GANG,THEREFORE I SAW,0,0,0,0,,0,4,0
120,180,1,88,-3,2,FALSE,19-Aug,my JAW ACHES when I CHEW GUM,MY WHOLE KIT MADE ME HAPPY,0,0,0,0,0,0,5,0
121,0,1,61,0,0,TRUE,6-Jan,the DOCTOR PRESCRIBED the DRUG,THE DOCTOR BROUGHT THE DRUG,1,0,1,,,2,3,0.666666667
122,90,1,120,0,0,FALSE,21-Jun,he RODE off in a CLOUD of DUST,HE RODE OFF IN A CLOUD OF DUST,1,1,1,,,3,3,1
123,-180,-1,100,-6,2,FALSE,19-Mar,her CIGARETTE HAD a LONG ASH,THE REST OR ONLY HALF,0,0,0,0,,0,4,0
124,0,1,75,-6,0,FALSE,7-Apr,the STEAMSHIP LEFT on a CRUISE,THE STEPS OF LEFT SCHOOL,0,1,0,,,1,3,0.333333333
125,90,1,92,-3,1,FALSE,18-Jul,the STALE BREAD WAS COVERED with MOLD,THE SAIL AWAY WAS IMPOSSIBLE,0,0,1,0,0,1,5,0.2
126,180,1,150,0,3,FALSE,23-Mar,the POND WAS FULL of CROAKING FROGS,THE BART WAS FULL BUT IN FROGS,0,1,1,0,1,3,5,0.6
127,0,1,114,-3,3,FALSE,14-Aug,a SPOILED CHILD IS a BRAT,THE CHURCH YARD IS SUCKED,0,0,1,0,,1,4,0.25
128,0,-1,123,-6,3,TRUE,3-Aug,GREET the HEROES with LOUD CHEERS,THE MIDDLE OF THE RIDE,0,0,0,0,,0,4,0
129,0,-1,46,-3,2,TRUE,17-Jan,the BEER DRINKERS RAISED their MUGS,IN CAVE AND RUST,0,0,0,0,,0,4,0
130,0,-1,163,0,2,FALSE,21-Apr,the SANDAL HAS a BROKEN STRAP,THE SANDAL HAS A BROKEN STRAP,1,1,1,1,,4,4,1
131,-90,-1,67,-6,3,FALSE,4-Feb,UNLOCK the DOOR and TURN the KNOB,THE DOOR HAD A LAP,0,1,0,0,,1,4,0.25
132,0,1,145,-6,2,TRUE,6-Jun,"instead of a FENCE, PLANT a HEDGE",THE SOMETHING UNDEAD SOUND,0,0,0,,,0,3,0
133,-90,-1,197,-6,3,FALSE,10-Jul,"to OPEN the JAR, TWIST the LID",THE DOOR JAM WAS HALF,0,0,0,0,,0,4,0
134,-90,-1,185,-3,2,FALSE,10-Mar,WATERMELONS HAVE LOTS of SEEDS,THE ROBBER LEFT THE SCENE,0,0,0,0,,0,4,0
135,0,1,143,-6,2,FALSE,21-May,the RANCHER ROUNDED UP his HERD,THE RAFT WAS UP FOR HER,0,0,1,0,,1,4,0.25
136,-180,-1,47,-6,0,FALSE,16-Aug,a ROSEBUSH HAS PRICKLY THORNS,THE BOOK STORE WAS OPEN SINCE,0,0,0,0,,0,4,0
137,0,-1,64,-3,1,FALSE,1-May,"it IS GETTING DARK, so LIGHT the LAMP",HE KEPT HIS SOCKS IN THE LAB,0,0,0,0,0,0,5,0
138,-180,-1,52,0,2,FALSE,4-Mar,my T.V. HAS a TWELVE-INCH SCREEN,MY TV HAS A TELEVISION SCREEN,1,1,0,1,,3,4,0.75
139,-180,-1,24,-3,1,FALSE,5-Jan,LET us DECIDE by TOSSING a COIN,LET US OPEN PRESENTS TOGETHER,1,0,0,0,,1,4,0.25
140,90,1,107,0,1,FALSE,15-Jul,JOHNs FRONT TOOTH HAD a CHIP,JOHNS FRONT TOOTH HAD A CHIP,1,1,1,1,1,5,5,1
141,0,1,78,0,3,FALSE,16-Jul,at BREAKFAST he DRANK SOME JUICE,AT BREAKFAST HE DRANK SOME JUICE,1,1,1,1,,4,4,1
142,0,1,14,0,0,TRUE,18-Jun,a TERMITE LOOKS like an ANT,NONE OF MY ROUGH SCENE,0,0,0,,,0,3,0
143,0,-1,79,-3,2,TRUE,4-Jun,GET the BREAD and CUT me a SLICE,LOREAL NESS,0,0,0,0,,0,4,0
144,0,-1,9,-3,2,FALSE,12-Jan,they TRACKED the LION to his DEN,THE TILL HEN,0,0,0,,,0,3,0
145,0,1,118,-3,3,TRUE,5-Jun,the SLEEPY CHILD TOOK a NAP,THE BOY CHARLES IS A MAN,0,0,0,0,,0,4,0
146,-180,-1,11,-6,0,FALSE,13-Apr,she MADE the BED with CLEAN SHEETS,SEE THE BAY IN THE HEAT,0,0,0,0,,0,4,0
147,0,1,182,-6,1,TRUE,11-Jan,the WITNESS TOOK a SOLEMN OATH,COMPOSED OF SOFT BARK,0,0,0,0,,0,4,0
148,90,1,16,0,2,FALSE,9-Jan,the WAR WAS FOUGHT with ARMORED TANKS,THE WAR WAS FOUGHT WITH ARMORED TANKS,1,1,1,1,1,5,5,1
149,90,1,194,-3,2,FALSE,23-Jul,CUT the BACON into STRIPS,THE TEEMING BREAK TRIPS UP,0,0,0,,,0,3,0
150,0,1,125,-6,2,FALSE,17-Jun,we GOT DRUNK in the LOCAL BAR,AT THE COUNTRY BAR,0,0,0,1,,1,4,0.25
