,A_Angle,B_Angle_sign,C_Masker,D_SNR,E_Talker,FG_Static,F_Sentence_ID,G_Sentence,H_Response,I_Input_1,J_Input_2,K_Input_3,L_Input_4,M_Input_5,Correct,Total,Percent
0,0,1,133,0,2,FALSE,22-Apr,he IS EMPLOYED by a LARGE FIRM,HE IS EMPLOYED BY A LAW FIRM,1,1,0,1,,3,4,0.75
1,0,-1,11,-6,1,TRUE,23-Jul,CUT the BACON into STRIPS,DOESNT HE GET COLD,0,0,0,,,0,3,0
2,-180,-1,23,0,1,FALSE,21-Aug,BOB WAS CUT by the JACKKNIFEs BLADE,BOB WAS CUT BY THE JACKKNIFES BLADE,1,1,1,1,1,5,5,1
3,0,1,81,0,2,TRUE,9-Apr,the MEAT from a PIG IS CALLED PORK,LOOKING FOR,0,0,0,0,0,0,5,0
4,180,1,118,-3,3,FALSE,24-May,the BANDITS ESCAPED from JAIL,THICK AND DRY,0,0,0,,,0,3,0
5,-90,-1,185,-3,1,FALSE,18-Jul,the STALE BREAD WAS COVERED with MOLD,THE SAILOR ,0,0,0,0,0,0,5,0
6,0,1,7,-6,2,FALSE,13-Jul,the MARKSMAN TOOK CAREFUL AIM,DONT BE SUCH A BABY,0,0,0,0,,0,4,0
7,-90,-1,59,-6,0,FALSE,15-Jan,the SUPER HIGHWAY HAS SIX LANES,THE HIGHWAY,0,1,0,0,0,1,5,0.2
8,-180,-1,79,-6,3,FALSE,5-Apr,RAISE the FLAG up the POLE,I SUPPOSE IT DEPENDS ON HOW YOU LOOK AT IT,0,0,0,,,0,3,0
9,0,-1,110,-3,3,TRUE,22-May,ANN WORKS in the BANK as a CLERK,SMOKE FILLED THE AIR,0,0,0,0,,0,4,0
10,90,1,31,0,2,FALSE,10-Feb,the CIGARETTE SMOKE FILLED his LUNGS,THE CIGARETTE SMOKED FILLED ,1,0,1,0,,2,4,0.5
11,0,-1,92,-3,1,FALSE,9-Jun,the WIDOWs SOB EXPRESSED her GRIEF,THE WIDOW SOBBED,1,0,0,0,,1,4,0.25
12,0,1,131,0,0,FALSE,21-May,the RANCHER ROUNDED UP his HERD,THE RANCH ROUNDED UP ITS HERD,0,1,1,1,,3,4,0.75
13,0,1,78,0,2,TRUE,7-Apr,the STEAMSHIP LEFT on a CRUISE,THE SHELL SHE LEFT ON THE CRUISE,0,1,1,,,2,3,0.666666667
14,0,1,111,-3,0,FALSE,9-Feb,BOB STOOD with his HANDS on his HIPS,MOMS HANDS,0,0,1,0,,1,4,0.25
15,180,1,60,0,0,FALSE,12-Mar,the TEACHER SAT on a SHARP TACK,THE TEACHER SAT ON A SHARP,1,1,1,0,,3,4,0.75
