,A_Angle,B_Angle_sign,C_Masker,D_SNR,E_Talker,FG_Static,F_Sentence_ID,G_Sentence,H_Response,I_Input_1,J_Input_2,K_Input_3,L_Input_4,M_Input_5,Correct,Total,Percent
0,0,-1,67,-3,3,FALSE,21-Jul,AIRMAIL REQUIRES a SPECIAL STAMP,HEAP ,0,0,0,0,,0,4,0
1,0,1,17,0,3,TRUE,14-Jan,the SCARF WAS MADE of SHINY SILK,,0,0,0,0,0,0,5,0
2,0,1,114,-6,1,FALSE,5-May,the FIREMAN HEARD her FRIGHTENED SCREAM,FELL UNDER A STREAM,0,0,0,0,,0,4,0
3,180,1,61,0,2,FALSE,15-Aug,the DROWNING MAN LET OUT a YELL,THE DROWNING MAN LET OUT A YELL,1,1,1,1,1,5,5,1
4,0,-1,47,-6,2,TRUE,22-Jan,we ARE LOST so LET us LOOK at the MAP,,0,0,0,0,0,0,5,0
5,90,1,45,-3,0,FALSE,14-Aug,a SPOILED CHILD IS a BRAT,CHILD,0,1,0,0,,1,4,0.25
6,180,1,178,-3,0,FALSE,18-Aug,the RAILROAD TRAIN RAN off the TRACK,CRAM,0,0,0,0,,0,4,0
7,0,1,30,0,3,FALSE,10-Apr,RUTH POURED herself a CUP of TEA,RUTH BROUGHT HER A CUP OF TEA,1,0,1,1,,3,4,0.75
8,90,1,1,-6,1,FALSE,10-Jul,"to OPEN the JAR, TWIST the LID",NOBODY,0,0,0,0,,0,4,0
9,-90,-1,175,0,3,FALSE,4-Jan,the OLD TRAIN WAS POWERED by STEAM,THE LITTLE TRAIN WAS POWERED BY STEAM,0,1,1,1,1,4,5,0.8
10,-180,-1,14,-6,2,FALSE,11-Jul,TIGHTEN the BELT by a NOTCH,TEACHER,0,0,0,,,0,3,0
11,0,-1,144,-3,0,TRUE,8-Aug,our SEATS WERE in the SECOND ROW,,0,0,0,0,,0,4,0
12,0,1,190,-6,1,FALSE,6-Jul,they PLAYED a GAME of CAT and MOUSE,A MOUSE,0,0,0,1,,1,4,0.25
13,-180,-1,107,-3,0,FALSE,21-Apr,the SANDAL HAS a BROKEN STRAP,TROUBLE,0,0,0,0,,0,4,0
14,0,-1,40,-6,2,TRUE,23-May,a CHIMPANZEE IS an APE,,0,0,0,,,0,3,0
15,0,1,43,0,3,FALSE,10-Jan,they DRANK a WHOLE BOTTLE of GIN,THEY DRANK A WHOLE BOTTLE OF GIN,1,1,1,1,,4,4,1
16,0,1,48,0,1,TRUE,21-May,the RANCHER ROUNDED UP his HERD,,0,0,0,0,,0,4,0
17,0,1,120,-3,1,FALSE,12-Jun,RUTH HAD a NECKLACE of GLASS BEADS,NEXT TO THE BINS,0,0,0,0,0,0,5,0
18,-90,-1,128,-3,1,FALSE,5-Jun,the SLEEPY CHILD TOOK a NAP,THE SAME CHILD SHOULD,0,1,0,0,,1,4,0.25
19,-90,-1,166,-6,3,FALSE,18-Jul,the STALE BREAD WAS COVERED with MOLD,BROKEN,0,0,0,0,0,0,5,0
20,180,1,22,0,2,FALSE,17-Feb,the SHIPs CAPTAIN SUMMONED his CREW,THE SHIPS CAPTAIN SUMMONED HIS CREW,1,1,1,1,,4,4,1
21,-180,-1,177,-6,3,FALSE,13-Jan,the COW GAVE BIRTH to a CALF,LOST,0,0,0,0,,0,4,0
22,-90,-1,133,0,1,FALSE,24-Mar,he HIT me with a CLENCHED FIST,HE HIT ME WITH A CLENCHED FIST,1,1,1,,,3,3,1
23,0,-1,86,-3,1,TRUE,17-Jun,we GOT DRUNK in the LOCAL BAR,,0,0,0,0,,0,4,0
24,90,1,77,0,0,FALSE,2-May,to STORE his WOOD he BUILT a SHED,TO STORE HIS WOOD HE BUILT A SHED,1,1,1,1,,4,4,1
25,-180,-1,140,-6,3,FALSE,10-Aug,that JOB WAS an EASY TASK,,0,0,0,0,,0,4,0
26,90,1,110,-3,2,FALSE,9-Jun,the WIDOWs SOB EXPRESSED her GRIEF,THE WIDOW,1,0,0,0,,1,4,0.25
27,0,1,87,0,0,TRUE,25-May,the LANDLORD RAISED the RENT,THE LANDLORD RAISED THE RENT,1,1,1,,,3,3,1
28,0,-1,69,0,3,FALSE,11-Mar,USE this SPRAY to KILL the BUGS,CURTAINS WENT TO KILL THE BUGS,0,0,1,1,,2,4,0.5
29,0,1,44,-6,3,TRUE,13-May,the JUDGE IS SITTING on the BENCH,,0,0,0,0,,0,4,0
30,0,-1,153,-6,0,FALSE,23-Jan,no one WAS INJURED in the CRASH,NO ONE WOULD TAKE OUT THE TRASH,0,0,0,,,0,3,0
31,0,-1,165,-3,1,TRUE,14-May,CUT a PIECE of MEAT from the ROAST,,0,0,0,0,,0,4,0
32,-180,-1,151,0,0,FALSE,8-Jun,they FISHED in the BABBLING BROOK,THEY FISHED IN THE BABBLING BROOK,1,1,1,,,3,3,1
33,-180,-1,157,-3,0,FALSE,15-Jan,the SUPER HIGHWAY HAS SIX LANES,NO ONE HAS,0,0,1,0,0,1,5,0.2
34,90,1,197,-6,3,FALSE,6-Mar,the KING WORE a GOLDEN CROWN,HE WALKED ON THE GROUND,0,0,0,0,,0,4,0
35,0,1,41,-3,0,FALSE,18-Apr,SPREAD SOME BUTTER on your BREAD,THE BUTLER BROUGHT THE BREAD,0,0,0,1,,1,4,0.25
36,180,1,36,-6,3,FALSE,8-Jan,the DOG CHEWED on a BONE,THEY LAUNCHED THE BOAT,0,0,0,,,0,3,0
37,-90,-1,131,0,0,FALSE,17-Jan,the BEER DRINKERS RAISED their MUGS,THE BEER DRINKERS RAISED THEIR MUGS,1,1,1,1,,4,4,1
38,0,1,117,-6,0,TRUE,21-Feb,the DOOR WAS OPENED just a CRACK,,0,0,0,0,,0,4,0
39,90,1,62,-3,0,FALSE,10-May,the BOY TOOK SHELTER in a CAVE,GAVE,0,0,0,0,,0,4,0
40,0,-1,142,-6,0,FALSE,15-May,the HEAVY RAINS CAUSED a FLOOD,FELL,0,0,0,0,,0,4,0
41,0,1,174,0,1,FALSE,3-Jun,the GAMBLER LOST the BET,THE GAMBLER LOST THE BET,1,1,1,,,3,3,1
42,90,1,56,-6,2,FALSE,1-Jul,you CUT the WOOD against the GRAIN,,0,0,0,,,0,3,0
43,0,1,129,-3,1,TRUE,16-Apr,she WORE a FEATHER in her CAP,,0,0,0,,,0,3,0
44,0,-1,195,0,3,TRUE,5-Mar,that ACCIDENT GAVE me a SCARE,SPEAKING WORD OF POWER,0,0,0,,,0,3,0
45,180,1,4,-3,1,FALSE,7-Apr,the STEAMSHIP LEFT on a CRUISE,,0,0,0,,,0,3,0
46,-180,-1,37,0,3,FALSE,24-Jan,my SON HAS a DOG for a PET,MY SON HAS A DOG,1,1,1,0,,3,4,0.75
47,0,-1,163,-3,2,FALSE,4-Jun,GET the BREAD and CUT me a SLICE,,0,0,0,0,,0,4,0
48,0,-1,5,-3,0,FALSE,9-Jul,a BEAR HAS a THICK COAT of FUR,THERE OVER,0,0,0,0,0,0,5,0
49,180,1,126,0,2,FALSE,8-May,the CHICKS FOLLOWED the MOTHER HEN,THE CHICKS FOLLOWED THE MOTHER,1,1,1,0,,3,4,0.75
50,-90,-1,28,0,3,FALSE,17-Apr,the BREAD WAS MADE from WHOLE WHEAT,THE BREAD WAS MADE FROM WHOLE WHEAT,1,1,1,1,1,5,5,1
51,180,1,98,-3,2,FALSE,19-Apr,the CABIN WAS MADE of LOGS,,0,0,0,0,,0,4,0
52,-90,-1,154,-3,3,FALSE,11-Feb,the CUSHION WAS FILLED with FOAM,FOAM,0,0,0,1,,1,4,0.25
53,0,-1,168,0,2,FALSE,14-Jul,i ATE a PIECE of CHOCOLATE FUDGE,I ATE A PIECE OF CHOCOLATE FUDGE,1,1,1,1,,4,4,1
54,90,1,74,-6,0,FALSE,20-Jan,he KILLED the DRAGON with his SWORD,,0,0,0,,,0,3,0
55,180,1,94,-6,0,FALSE,18-Feb,the FLOOD TOOK a HEAVY TOLL,,0,0,0,0,,0,4,0
56,0,1,71,-6,2,FALSE,22-Feb,the SAND WAS HEAPED in a PILE,THE SAND WAS,1,1,0,0,,2,4,0.5
57,0,-1,29,-3,3,TRUE,4-Feb,UNLOCK the DOOR and TURN the KNOB,,0,0,0,0,,0,4,0
58,0,-1,10,0,0,TRUE,7-Jul,the THREAD WAS WOUND on a SPOOL,,0,0,0,0,,0,4,0
59,0,-1,65,-6,0,TRUE,7-Mar,the GIRL SWEPT the FLOOR with a BROOM,,0,0,0,0,,0,4,0
60,180,1,137,-3,3,FALSE,10-Jun,the CANDLE FLAME MELTED the WAX,,0,0,0,0,,0,4,0
61,-90,-1,186,-6,1,FALSE,12-Jan,they TRACKED the LION to his DEN,THEY TRIED,0,0,0,,,0,3,0
62,0,1,134,0,2,TRUE,1-Feb,the BABY SLEPT in his CRIB,THE BABIES,0,0,0,,,0,3,0
63,0,-1,76,-6,0,TRUE,12-Apr,how DID your CAR GET that DENT,,0,0,0,0,,0,4,0
64,0,1,173,-3,0,TRUE,16-Mar,the STORM BROKE the SAILBOATs MAST,,0,0,0,0,,0,4,0
65,180,1,147,0,0,FALSE,5-Feb,WIPE your GREASY HANDS on the RAG,WIPE YOUR GREASY HANDS ON THE RAG,1,1,1,1,,4,4,1
