,A_Angle,B_Angle_sign,C_Masker,D_SNR,E_Talker,FG_Static,F_Sentence_ID,G_Sentence,H_Response,I_Input_1,J_Input_2,K_Input_3,L_Input_4,M_Input_5,Correct,Total,Percent
0,0,1,138,-6,3,FALSE,18-Mar,the GLASS HAD a CHIP on the RIM,THE LAMB FOR THE WIN ,0,0,0,0,,0,4,0
1,90,1,9,-6,2,FALSE,10-Mar,WATERMELONS HAVE LOTS of SEEDS,WATERMELON IS HEAVIER THAN THE SEA ,0,0,0,0,,0,4,0
2,-180,-1,107,-6,3,FALSE,25-May,the LANDLORD RAISED the RENT,YOU LIKE ,0,0,0,,,0,3,0
3,0,-1,84,-6,2,TRUE,13-Jan,the COW GAVE BIRTH to a CALF,MAYBE IF I WASNT SO REPULSIVE ,0,0,0,0,,0,4,0
4,0,-1,122,0,3,FALSE,13-May,the JUDGE IS SITTING on the BENCH,THE JUDGE IS SITTING ON THE BENTCH ,1,1,1,1,,4,4,1
5,-90,-1,40,0,1,FALSE,1-May,"it IS GETTING DARK, so LIGHT the LAMP",IT IS GETTING DARK SO LIGHT THE LAMP ,1,1,1,1,1,5,4,1.25
6,-180,-1,80,0,0,FALSE,21-Jun,he RODE off in a CLOUD of DUST,HE WROTE OFF IN A CLOUD OF DUSK ,0,1,0,,,1,3,0.333333333
7,180,1,81,-3,3,FALSE,13-Mar,the SAILOR SWABBED the DECK,WE HAVE BEEN LOOKING FOR YOU FOR A VERY LONG TIME ,0,0,0,,,0,3,0
8,0,-1,161,-3,2,TRUE,20-May,the SECRET AGENT WAS a SPY,THEIR WAS A LONG MOMENT OF SILENCE ,0,0,1,0,,1,4,0.25
9,90,1,175,-3,3,FALSE,23-Jul,CUT the BACON into STRIPS,HE HAD JUDGED THE REMAININGS ,0,0,0,,,0,3,0
10,0,-1,50,-3,3,FALSE,2-Aug,i CUT my FINGER with a KNIFE,THE CAR WHEN HE LEFT ,0,0,0,,,0,3,0
11,0,-1,51,0,2,TRUE,13-Jul,the MARKSMAN TOOK CAREFUL AIM,THE MARK RAISED AS BEAUTIFUL ,0,0,0,0,,0,4,0
12,0,1,160,0,2,TRUE,23-Mar,the POND WAS FULL of CROAKING FROGS,THE POND WAS FULL OF ANIMALS ,1,1,1,0,0,3,5,0.6
13,-90,-1,37,-3,0,FALSE,11-Jun,he WAS HIT by a POISONED DART,HE WAS HIT BY A POISON STAR ,1,1,0,0,,2,4,0.5
14,0,-1,173,-6,1,TRUE,19-May,BOB WORE a WATCH on his WRIST,MORE FRENCH TOAST ,0,0,0,0,,0,4,0
15,90,1,166,0,2,FALSE,25-Jan,he WAS SCARED out of his WITS,ALTHOUGH SCARED HE SERVED AS A WITNESS ,0,1,0,,,1,3,0.333333333
