,A_Angle,B_Angle_sign,C_Masker,D_SNR,E_Talker,FG_Static,F_Sentence_ID,G_Sentence,H_Response,I_Input_1,J_Input_2,K_Input_3,L_Input_4,M_Input_5,Correct,Total,Percent
0,0,-1,57,-6,3,TRUE,25-May,the LANDLORD RAISED the RENT,WHAT IS IT ,0,0,0,,,0,3,0
1,0,1,157,-3,2,TRUE,1-Mar,KILL the BUGS with this SPRAY,THE BUG LOST ITS SPRAY,0,0,1,,,1,3,0.333333333
2,-180,-1,82,-6,0,FALSE,17-Feb,the SHIPs CAPTAIN SUMMONED his CREW,THE CHIPS ARE HAPPENING ITS YOU,0,0,0,0,,0,4,0
3,0,1,124,0,2,FALSE,1-May,"it IS GETTING DARK, so LIGHT the LAMP",IT IS GETTING DARK SO LIGHT THE LAMP,1,1,1,1,1,5,5,1
4,0,1,27,0,1,TRUE,12-Jul,the COOKIES WERE KEPT in a JAR,THE COOKIES WERE KEPT IN THE JAR ,1,1,1,1,,4,4,1
5,90,1,165,0,2,FALSE,17-May,LET us INVITE the WHOLE GANG,LET US INVITE THE WHOLE GANG,1,1,1,1,,4,4,1
6,0,-1,37,-3,1,FALSE,2-Jul,the COP WORE a BULLET-PROOF VEST,THE COP WORE A BRIGHT BLUE VEST,1,1,0,1,,3,4,0.75
7,90,1,20,-3,3,FALSE,24-Apr,the AIRPLANE DROPPED a BOMB,CALLED HIS MOM,0,0,0,,,0,3,0
8,-180,-1,34,-3,3,FALSE,4-May,the AIRPLANE WENT into a DIVE,THE COAST ,0,0,0,,,0,3,0
9,-90,-1,14,-6,2,FALSE,16-May,the SWIMMER DOVE into the POOL,THE SWAN LOST,0,0,0,,,0,3,0
10,-180,-1,129,0,3,FALSE,11-Mar,USE this SPRAY to KILL the BUGS,USE THE SPRAY TO KILL THE BUGS,1,1,1,1,,4,4,1
11,0,1,145,-6,3,FALSE,3-Jun,the GAMBLER LOST the BET,LOST MET ,0,1,0,,,1,3,0.333333333
12,-90,-1,52,-3,3,FALSE,8-May,the CHICKS FOLLOWED the MOTHER HEN,THE KIDS FOLLOWED THE HURRICANE,0,1,0,0,,1,4,0.25
13,90,1,150,-6,3,FALSE,18-Jul,the STALE BREAD WAS COVERED with MOLD,BOWL,0,0,0,0,0,0,5,0
14,0,1,197,-6,0,TRUE,15-Jan,the SUPER HIGHWAY HAS SIX LANES,THE SUPER ,1,0,0,0,0,1,5,0.2
15,180,1,133,0,1,FALSE,7-Jan,HOLD the BABY on your LAP,HOLD THE BABY ON YOUR LAP,1,1,1,,,3,3,1
16,180,1,187,-3,0,FALSE,5-May,the FIREMAN HEARD her FRIGHTENED SCREAM,CREEPY,0,0,0,0,,0,4,0
17,0,1,117,-3,3,TRUE,10-Jun,the CANDLE FLAME MELTED the WAX,,0,0,0,0,,0,4,0
18,0,-1,183,-3,3,FALSE,9-May,the FUR COAT WAS MADE of MINK,FOLD MY KNEE,0,0,0,0,0,0,5,0
19,-180,-1,147,-6,2,FALSE,12-Jan,they TRACKED the LION to his DEN,SAND ,0,0,0,,,0,3,0
20,90,1,30,0,1,FALSE,23-May,a CHIMPANZEE IS an APE,A CHIMPANZEE IS AN APE,1,1,1,,,3,3,1
21,0,-1,2,0,3,FALSE,22-Jan,we ARE LOST so LET us LOOK at the MAP,WE ARE LOST LET US LOOK AT THE MAP,1,1,1,1,1,5,5,1
22,0,-1,189,-6,0,FALSE,17-Jul,our CAT IS GOOD at CATCHING MICE,OUR CAT CAN CATCH MICE,1,0,0,0,1,2,5,0.4
23,0,1,154,0,0,TRUE,6-Jul,they PLAYED a GAME of CAT and MOUSE,GAME OF CAT AND MOUSE ,0,1,1,1,,3,4,0.75
24,-90,-1,110,-6,2,FALSE,5-Apr,RAISE the FLAG up the POLE,RAISE THE FLAG ON THE POLE,1,1,1,,,3,3,1
25,0,1,140,-6,0,TRUE,21-Apr,the SANDAL HAS a BROKEN STRAP,SLIDE,0,0,0,0,,0,4,0
26,-180,-1,169,-3,1,FALSE,3-Aug,GREET the HEROES with LOUD CHEERS,SHEETS,0,0,0,0,,0,4,0
27,-90,-1,136,-3,2,FALSE,4-Jul,PAUL TOOK a BATH in the TUB,THE BALL TOOK A ,0,1,0,0,,1,4,0.25
28,0,1,143,0,3,FALSE,13-Jan,the COW GAVE BIRTH to a CALF,THE COW GAVE BIRTH TO A CALF,1,1,1,1,,4,4,1
29,-180,-1,76,0,3,FALSE,14-Aug,a SPOILED CHILD IS a BRAT,THE SPOILED CHILD IS A BRAT,1,1,1,1,,4,4,1
30,0,-1,61,0,3,TRUE,1-Feb,the BABY SLEPT in his CRIB,THE BABY SLEPT IN HIS CRIB,1,1,1,,,3,3,1
31,-180,-1,74,-6,0,FALSE,25-Feb,the FARMER BALED the HAY,THE FARMER BALED THE HAY,1,1,1,,,3,3,1
32,-90,-1,166,0,2,FALSE,8-Jun,they FISHED in the BABBLING BROOK,THE FISH TANK WAS BROKE,0,0,0,,,0,3,0
33,0,1,152,-3,0,TRUE,16-Apr,she WORE a FEATHER in her CAP,,0,0,0,,,0,3,0
34,0,1,58,-6,1,FALSE,19-Jul,how LONG CAN you HOLD your BREATH,HOW LONG UNTIL YOUR BATH,1,0,0,0,,1,4,0.25
35,0,-1,184,-3,0,FALSE,1-Jul,you CUT the WOOD against the GRAIN,CAKE IN THE WAY,0,0,0,,,0,3,0
36,0,1,85,0,1,TRUE,23-Mar,the POND WAS FULL of CROAKING FROGS,CROSS,0,0,0,0,0,0,5,0
37,-90,-1,72,-3,0,FALSE,4-Apr,your KNEES and your ELBOWS ARE JOINTS,ONCE,0,0,0,0,,0,4,0
38,0,1,89,-3,2,FALSE,8-Jan,the DOG CHEWED on a BONE,THE DOGS HAD A BRUISE,0,0,0,,,0,3,0
39,-90,-1,132,0,3,FALSE,12-May,the BOAT SAILED ALONG the COAST,THE BOAT SAILS ALONG THE COAST,1,0,1,1,,3,4,0.75
40,-180,-1,176,0,0,FALSE,9-Feb,BOB STOOD with his HANDS on his HIPS,BOB STOOD WITH HIS HANDS ON HIS HIPS,1,1,1,1,,4,4,1
41,0,1,192,-6,1,TRUE,8-Feb,the DUCKS SWAM around on the POND,THE MOUSE TOOK A HARD,0,0,0,,,0,3,0
42,90,1,64,-6,1,FALSE,9-Jan,the WAR WAS FOUGHT with ARMORED TANKS,THE WORM STUCK OUT ITS HEAD,0,0,0,0,0,0,5,0
43,180,1,22,-3,1,FALSE,23-Jul,CUT the BACON into STRIPS,CUT THE BACON INTO STRIPS,1,1,1,,,3,3,1
44,0,1,25,-6,2,FALSE,22-Mar,please WIPE your FEET on the MAT,BE WITH THEM AT THE MATCH,0,0,0,,,0,3,0
45,0,-1,69,0,3,FALSE,1-Jan,his PLANS MEANT TAKING a BIG RISK,THE PLANS MEANT TAKING A BIG RISK,1,1,1,1,1,5,5,1
46,180,1,21,-6,2,FALSE,21-Feb,the DOOR WAS OPENED just a CRACK,THE DOOR WAS OPENED JUST A CRACK,1,1,1,1,,4,4,1
47,0,-1,94,-3,3,TRUE,3-Apr,the DUCK SWAM with the WHITE SWAN,THE DOOR MADE A SPLASH,0,0,0,0,,0,4,0
48,0,1,160,-3,3,TRUE,22-Jul,the BOTTLE WAS SEALED with a CORK,SEAL THE PLATE,0,0,0,0,,0,4,0
49,180,1,60,-6,3,FALSE,1-Apr,the DOCTOR X-RAYED his CHEST,THE DOG JUMPED ON THE CHEST,0,0,1,,,1,3,0.333333333
50,0,1,194,-6,3,FALSE,2-Feb,the WATCHDOG GAVE a WARNING GROWL,THE WATCH DOG GAVE A WARNING GROWL,1,1,1,1,,4,4,1
51,-90,-1,24,-6,2,FALSE,18-Jan,the RUDE REMARK MADE her BLUSH,THE ROOM GAVE AN ITCH,0,0,0,0,,0,4,0
52,90,1,198,-3,3,FALSE,15-May,the HEAVY RAINS CAUSED a FLOOD,THE WEE ONES CALLED FILIPE,0,0,0,0,,0,4,0
53,-180,-1,163,0,2,FALSE,11-Aug,the SHEPHERD WATCHED his FLOCK of SHEEP,THE SHEPARD WATCHED HIS FLOCK OF SHEEP,1,1,1,1,,4,4,1
54,-180,-1,71,-3,2,FALSE,5-Jun,the SLEEPY CHILD TOOK a NAP,THE SEAL BIT ME,0,0,0,0,,0,4,0
55,0,-1,102,-3,0,FALSE,8-Jul,the CROOK ENTERED a GUILTY PLEA,THE GUILTY BABY,0,0,1,0,,1,4,0.25
56,0,-1,130,0,1,FALSE,11-Jan,the WITNESS TOOK a SOLEMN OATH,THE WITNESS TOOK A SOLEMN OATH,1,1,1,1,,4,4,1
57,-90,-1,159,0,3,FALSE,20-Mar,the SOUP WAS SERVED in a BOWL,THE SOUP WAS SERVED IN A BOWL,1,1,1,1,,4,4,1
58,0,-1,70,-6,0,TRUE,6-Mar,the KING WORE a GOLDEN CROWN,WORM ,0,0,0,0,,0,4,0
