,A_Angle,B_Angle_sign,C_Masker,D_SNR,E_Talker,FG_Static,F_Sentence_ID,G_Sentence,H_Response,I_Input_1,J_Input_2,K_Input_3,L_Input_4,M_Input_5,Correct,Total,Percent
0,0,-1,36,-3,2,FALSE,10-Jul,"to OPEN the JAR, TWIST the LID",CARNAL INSTINCT,0,0,0,0,,0,4,0
1,180,1,87,-6,3,FALSE,2-Jun,the DOCTOR CHARGED a LOW FEE,THE DAUGHTER TOOK,0,0,0,0,,0,4,0
2,0,1,40,-3,0,TRUE,4-Jul,PAUL TOOK a BATH in the TUB,MEOW,0,0,0,0,,0,4,0
3,-90,-1,5,-3,3,FALSE,2-Apr,the WORKERS ARE DIGGING a DITCH,,0,0,0,0,,0,4,0
4,0,-1,157,-6,0,FALSE,21-Mar,the LONELY BIRD SEARCHED for its MATE,BIRD BAIT,0,1,0,0,,1,4,0.25
5,0,1,187,0,2,TRUE,21-Jan,MARY WORE her HAIR in BRAIDS,,0,0,0,0,,0,4,0
6,-90,-1,26,0,0,FALSE,22-Jan,we ARE LOST so LET us LOOK at the MAP,WE ARE LOST LOOK AT MAP,1,1,0,1,1,4,5,0.8
7,0,-1,72,0,2,FALSE,23-Feb,HOUSEHOLD GOODS ARE MOVED in a VAN,ARE MOVED IN A VAN,0,0,1,1,1,3,5,0.6
8,180,1,78,0,1,FALSE,23-Mar,the POND WAS FULL of CROAKING FROGS,THE PAUSE,0,0,0,0,0,0,5,0
9,0,1,137,-6,3,TRUE,5-Apr,RAISE the FLAG up the POLE,I AM BOOKED,0,0,0,,,0,3,0
10,180,1,110,-3,0,FALSE,20-Mar,the SOUP WAS SERVED in a BOWL,THE SUPER BOWL,0,0,0,1,,1,4,0.25
11,90,1,165,-6,0,FALSE,1-Mar,KILL the BUGS with this SPRAY,KILL THE BUG WITH,1,0,0,,,1,3,0.333333333
12,0,1,22,-3,2,FALSE,14-Jun,the FRUIT WAS SHIPPED in WOODEN CRATES,SHAPED SOME,0,0,0,0,0,0,5,0
13,0,-1,29,-6,3,TRUE,18-May,the HOUSE WAS ROBBED by a THIEF,HER,0,0,0,0,,0,4,0
14,0,-1,169,-6,2,FALSE,24-Jan,my SON HAS a DOG for a PET,SON,1,0,0,0,,1,4,0.25
15,-90,-1,124,-6,2,FALSE,25-Jan,he WAS SCARED out of his WITS,HE WAS SCARED ,1,1,0,,,2,3,0.666666667
16,-90,-1,121,-3,1,FALSE,22-Jul,the BOTTLE WAS SEALED with a CORK,BOTTLE,1,0,0,0,,1,4,0.25
17,-180,-1,131,-3,1,FALSE,17-Apr,the BREAD WAS MADE from WHOLE WHEAT,MOVIES,0,0,0,0,0,0,5,0
18,0,1,10,0,1,TRUE,12-Feb,RUTH POURED the WATER down the DRAIN,RUTH,1,0,0,0,,1,4,0.25
19,-180,-1,172,0,0,FALSE,17-Jan,the BEER DRINKERS RAISED their MUGS,THE BEER DRINKERS RAISED THEIR MUGS,1,1,1,1,,4,4,1
20,0,1,79,0,3,FALSE,9-Mar,she FACED them with a FOOLISH GRIN,SHE FACED THEM WITH SHRED,1,0,0,,,1,3,0.333333333
21,-180,-1,133,-6,1,FALSE,11-Aug,the SHEPHERD WATCHED his FLOCK of SHEEP,WATCH SHOE,0,0,0,0,,0,4,0
22,-90,-1,95,0,1,FALSE,15-Mar,the BOY GAVE the FOOTBALL a KICK,THE BOY GAVE THE FOOTBALL A KICK,1,1,1,1,,4,4,1
23,0,1,151,-3,2,TRUE,11-Mar,USE this SPRAY to KILL the BUGS,HE SAW A NICKEL DROP A METAL BOUND BOOK TO THE FLOOR,0,0,0,0,,0,4,0
24,0,-1,143,0,0,FALSE,15-Jun,the CANDLE BURNED with a BRIGHT FLAME,THE CANDLE BURNED WITH A BRIGHT FLAME,1,1,1,1,,4,4,1
25,90,1,147,0,2,FALSE,19-Aug,my JAW ACHES when I CHEW GUM,MY JAW HURTS WHEN I CHEW GUM,1,0,1,1,1,4,5,0.8
26,-180,-1,86,-3,2,FALSE,16-Jul,at BREAKFAST he DRANK SOME JUICE,MUSIC,0,0,0,0,,0,4,0
27,90,1,51,-3,3,FALSE,14-Jan,the SCARF WAS MADE of SHINY SILK,THE SAW,0,0,0,0,0,0,5,0
28,0,1,12,-3,0,TRUE,24-Mar,he HIT me with a CLENCHED FIST,SAY,0,0,0,,,0,3,0
29,0,1,21,-6,2,FALSE,6-Aug,the BRIDE WORE a WHITE GOWN,THE,0,0,0,0,,0,4,0
30,180,1,198,-6,0,FALSE,5-Feb,WIPE your GREASY HANDS on the RAG,HE GRASS,0,0,0,0,,0,4,0
31,0,-1,46,-3,1,FALSE,9-May,the FUR COAT WAS MADE of MINK,MEETING,0,0,0,0,0,0,5,0
32,-180,-1,60,0,3,FALSE,16-May,the SWIMMER DOVE into the POOL,YELLOW BALL OF SPOOL,0,0,0,,,0,3,0
33,0,-1,127,0,3,TRUE,12-Aug,DAVID WIPED the SWEAT from his BROW,AT ONCE HE STOOD,0,0,0,0,,0,4,0
34,90,1,24,-6,2,FALSE,25-Apr,a ZEBRA HAS BLACK and WHITE STRIPES,THE ZEBRA HAS BLACK AND WHITE STRIPES,1,1,1,1,1,5,5,1
35,0,1,66,-6,2,TRUE,13-Feb,this NOZZLE SPRAYS a FINE MIST,THE SMALL,0,0,0,0,,0,4,0
36,-180,-1,88,0,0,FALSE,17-Jul,our CAT IS GOOD at CATCHING MICE,OUR CAT IS GOOD AT HUNTING MICE,1,1,1,0,1,4,5,0.8
37,0,-1,75,-6,3,FALSE,18-Aug,the RAILROAD TRAIN RAN off the TRACK,TRIALS,0,0,0,0,,0,4,0
38,-90,-1,141,-6,2,FALSE,9-Feb,BOB STOOD with his HANDS on his HIPS,THE TAN,0,0,0,0,,0,4,0
39,90,1,18,-3,1,FALSE,5-Jun,the SLEEPY CHILD TOOK a NAP,,0,0,0,0,,0,4,0
40,-90,-1,188,0,1,FALSE,12-Mar,the TEACHER SAT on a SHARP TACK,THE TEACHER SAT ON A SHARP TAC,1,1,1,1,,4,4,1
41,0,1,38,0,1,TRUE,20-May,the SECRET AGENT WAS a SPY,SUPPOSE,0,0,0,0,,0,4,0
42,180,1,53,-3,1,FALSE,21-May,the RANCHER ROUNDED UP his HERD,TOO,0,0,0,0,,0,4,0
43,0,-1,123,-3,1,TRUE,21-Jun,he RODE off in a CLOUD of DUST,THE CAR RUSTS,0,0,0,,,0,3,0
