,A_Angle,B_Angle_sign,C_Masker,D_SNR,E_Talker,F_Sentence_ID,G_Sentence,H_Response,I_Input_1,J_Input_2,K_Input_3,L_Input_4,M_Input_5,Num Correct,Total,Percent
0,180,1,184,0,0,13-Jan,the COW GAVE BIRTH to a CALF,HOW DID THE BIRD LAUGH,0,0,1,0,,1,4,0.25
1,-180,-1,51,-8,0,2-Mar,how MUCH CAN I BUY for a DIME,,0,0,0,0,,0,4,0
2,0,-1,196,-8,3,1-Jul,you CUT the WOOD against the GRAIN,,0,0,0,,,0,3,0
3,0,-1,38,0,3,25-Mar,a BICYCLE HAS TWO WHEELS,A BICYCLE HAS TWO WHEELS,1,1,1,1,,4,4,1
4,90,1,24,0,1,14-May,CUT a PIECE of MEAT from the ROAST,CUT THE PIECE OF MEAT FROM THE ROAST,1,1,1,1,,4,4,1
5,-90,-1,101,-8,0,19-Jan,we HEARD the TICKING of the CLOCK,,0,0,0,,,0,3,0
6,0,1,135,-4,2,22-Apr,he IS EMPLOYED by a LARGE FIRM,IT IS THE LARGE HERB,0,0,0,0,,0,4,0
7,-90,-1,114,-4,2,16-Apr,she WORE a FEATHER in her CAP,,0,0,0,,,0,3,0
8,-180,-1,31,-4,1,12-Jun,RUTH HAD a NECKLACE of GLASS BEADS,,0,0,0,0,0,0,5,0
9,-90,-1,127,-8,0,25-Jul,the SHIPWRECKED SAILORS BUILT a RAFT,THE TALL GIRAFFE,0,0,0,0,,0,4,0
10,0,-1,99,-4,1,20-Feb,the POLICEMEN CAPTURED the CROOK,,0,0,0,,,0,3,0
11,90,1,91,-4,1,17-Jun,we GOT DRUNK in the LOCAL BAR,,0,0,0,0,,0,4,0
12,0,1,160,-8,0,20-Jun,the BURGLAR ESCAPED with the LOOT,ESCAPE,0,1,0,,,1,3,0.333333333
13,180,1,128,-4,3,20-May,the SECRET AGENT WAS a SPY,,0,0,0,,,0,3,0
14,0,1,44,0,3,21-Jan,MARY WORE her HAIR in BRAIDS,MARY WORE HER HAIR IN BRAIDS,1,1,1,1,,4,4,1
15,180,1,118,0,0,9-Jun,the WIDOWs SOB EXPRESSED her GRIEF,THE WIDOW SAW AND EXPRESSED HER GRIEF,1,0,1,1,,3,4,0.75
16,90,1,68,0,2,8-May,the CHICKS FOLLOWED the MOTHER HEN,THE CHICKS FOLLOWED THE MOTHER HEN,1,1,1,1,,4,4,1
17,-180,-1,100,-8,2,4-Mar,my T.V. HAS a TWELVE-INCH SCREEN,,0,0,0,0,,0,4,0
18,-90,-1,63,0,3,18-May,the HOUSE WAS ROBBED by a THIEF,THE HOUSE WAS ROBBED BY A THIEF,1,1,1,1,,4,4,1
19,0,1,174,0,2,19-Jun,the SICK CHILD SWALLOWED the PILL,THE SICK CHILD SWALLOWED THE PILL,1,1,1,1,,4,4,1
20,90,1,107,-4,2,15-Jan,the SUPER HIGHWAY HAS SIX LANES,THE SUPER,1,0,0,0,0,1,5,0.2
21,0,-1,77,-4,3,16-Jan,for DESSERT he HAD APPLE PIE,,0,0,0,0,,0,4,0
22,180,1,185,-4,0,12-Jul,the COOKIES WERE KEPT in a JAR,,0,0,0,0,,0,4,0
23,-180,-1,179,-8,1,5-Jan,LET us DECIDE by TOSSING a COIN,,0,0,0,0,,0,4,0
24,90,1,17,-8,2,19-Aug,my JAW ACHES when I CHEW GUM,,0,0,0,0,,0,4,0
25,180,1,164,0,1,1-Aug,my TURTLE WENT into its SHELL,MY TURTLE WENT INTO ITS SHELL,1,1,1,,,3,3,1
26,0,-1,21,-8,2,4-Jun,GET the BREAD and CUT me a SLICE,GET THE,1,0,0,0,,1,4,0.25
27,90,1,131,-8,3,4-Jul,PAUL TOOK a BATH in the TUB,,0,0,0,0,,0,4,0
28,0,-1,122,-8,3,2-May,to STORE his WOOD he BUILT a SHED,,0,0,0,0,,0,4,0
29,0,-1,76,0,3,1-May,"it IS GETTING DARK, so LIGHT the LAMP",IT IS GETTING DARK SO LIGHT THE LAMP,1,1,1,1,1,5,5,1
30,90,1,75,-4,1,12-Aug,DAVID WIPED the SWEAT from his BROW,SWEAT,0,0,1,0,,1,4,0.25
31,-180,-1,93,-4,2,10-Jul,"to OPEN the JAR, TWIST the LID",,0,0,0,0,,0,4,0
32,-90,-1,80,0,1,13-Aug,the BAD NEWS CAME as a SHOCK,THE BAD NEWS CAME AS A SHOCK,1,1,1,1,,4,4,1
33,180,1,56,0,3,10-Apr,RUTH POURED herself a CUP of TEA,COILED IN TEA,0,0,0,1,,1,4,0.25
34,180,1,146,-8,3,22-Jan,we ARE LOST so LET us LOOK at the MAP,DOG ,0,0,0,0,0,0,5,0
35,0,1,40,-4,0,12-Apr,how DID your CAR GET that DENT,HOW LONG THAT TEST,0,0,0,0,,0,4,0
36,90,1,95,-4,1,20-Jul,his BOSS MADE him WORK like a SLAVE,,0,0,0,0,,0,4,0
37,-180,-1,98,-4,1,8-Jun,they FISHED in the BABBLING BROOK,,0,0,0,,,0,3,0
38,0,1,108,0,2,22-Feb,the SAND WAS HEAPED in a PILE,THE SAND WAS HEAPED IN A PILE,1,1,1,1,,4,4,1
39,0,1,16,-8,2,6-Feb,the WEDDING BANQUET WAS a FEAST,FEET ASLEEP,0,0,0,0,,0,4,0
40,-90,-1,129,-8,2,3-Jun,the GAMBLER LOST the BET,,0,0,0,,,0,3,0
41,-180,-1,12,-8,3,9-May,the FUR COAT WAS MADE of MINK,,0,0,0,0,0,0,5,0
42,-90,-1,125,0,0,11-Jul,TIGHTEN the BELT by a NOTCH,TIGHTEN THE BELT BY THE LATCH,1,1,0,,,2,3,0.666666667
43,0,1,28,-4,1,7-Feb,PAUL HIT the WATER with a SPLASH,THE BALL HIT THE WATER WITH A SPLASH,0,1,1,1,,3,4,0.75
44,-180,-1,94,0,3,8-Apr,TREE TRUNKS ARE COVERED with BARK,TREE TRUNKS ARE COVERED WITH BARK,1,1,1,1,1,5,5,1
45,0,1,45,-8,3,1-Mar,KILL the BUGS with this SPRAY,,0,0,0,,,0,3,0
46,90,1,124,0,1,2-Jun,the DOCTOR CHARGED a LOW FEE,CHARGED A LOW FEE,0,1,1,1,,3,4,0.75
47,-90,-1,145,-4,3,10-Jan,they DRANK a WHOLE BOTTLE of GIN,CHEESE,0,0,0,0,,0,4,0
48,-180,-1,109,0,2,14-Jun,the FRUIT WAS SHIPPED in WOODEN CRATES,THE FRUIT WAS SHIPPED IN WOODEN CRATES,1,1,1,1,1,5,5,1
49,180,1,165,-4,0,6-Jun,"instead of a FENCE, PLANT a HEDGE",,0,0,0,,,0,3,0
50,-90,-1,78,-8,3,23-Jan,no one WAS INJURED in the CRASH,,0,0,0,,,0,3,0
51,0,1,154,0,2,20-Apr,the LION GAVE an ANGRY ROAR,THE LION GAVE AN ANGRY ROAR,1,1,1,1,,4,4,1
52,180,1,194,-8,0,17-Jan,the BEER DRINKERS RAISED their MUGS,,0,0,0,0,,0,4,0
53,0,1,176,-4,0,11-Jan,the WITNESS TOOK a SOLEMN OATH,THE WIND ,0,0,0,0,,0,4,0
54,0,1,61,-4,0,7-Aug,i CANNOT GUESS so GIVE me a HINT,,0,0,0,0,,0,4,0
55,-90,-1,74,-8,0,6-Aug,the BRIDE WORE a WHITE GOWN,THE BRIDE WORE A WHITE GOWN,1,1,1,1,,4,4,1
56,-180,-1,18,0,0,24-Apr,the AIRPLANE DROPPED a BOMB,THE AIRPLANE DROPPED A BOMB,1,1,1,,,3,3,1
57,0,-1,1,-8,0,3-Aug,GREET the HEROES with LOUD CHEERS,THE CLOUD,0,0,0,0,,0,4,0
58,-90,-1,189,0,3,2-Aug,i CUT my FINGER with a KNIFE,I CUT MY FINGER WITH A KNIFE,1,1,1,,,3,3,1
59,-180,-1,123,-4,1,14-Jul,i ATE a PIECE of CHOCOLATE FUDGE,,0,0,0,0,,0,4,0
60,-90,-1,55,-4,3,23-Apr,her ENTRY SHOULD WIN FIRST PRIZE,,0,0,0,0,0,0,5,0
61,180,1,113,-8,3,23-Jun,on the BEACH we PLAY in the SAND,,0,0,0,,,0,3,0
62,0,1,0,0,1,15-May,the HEAVY RAINS CAUSED a FLOOD,THE HEAVY RAINS CAUSED A FLOOD,1,1,1,1,,4,4,1
63,0,1,116,-4,0,9-Jan,the WAR WAS FOUGHT with ARMORED TANKS,THE WAR WAS FOUGHT WITH ARMED MEN,1,1,1,1,0,4,5,0.8
64,90,1,153,-8,1,2-Apr,the WORKERS ARE DIGGING a DITCH,THE WORKERS ARE DIGGING A DITCH,1,1,1,1,,4,4,1
65,0,-1,132,-8,1,3-Apr,the DUCK SWAM with the WHITE SWAN,SWAM,0,1,0,0,,1,4,0.25
66,-180,-1,35,0,1,24-Aug,CUT the MEAT into SMALL CHUNKS,CUT IN SMALL CHUNKS,1,0,1,1,,3,4,0.75
67,-90,-1,7,0,0,20-Mar,the SOUP WAS SERVED in a BOWL,THE SOUP WAS SERVED IN A BOWL,1,1,1,1,,4,4,1
68,0,1,66,0,0,8-Jan,the DOG CHEWED on a BONE,THE DOG CHEWED ON THE BONE,1,1,1,,,3,3,1
69,-180,-1,157,-4,3,6-Mar,the KING WORE a GOLDEN CROWN,GOLD,0,0,1,0,,1,4,0.25
70,90,1,58,-4,3,10-Feb,the CIGARETTE SMOKE FILLED his LUNGS,THE GREEN AND YELLOW SMOKE FILLED THE,0,1,1,0,,2,4,0.5
71,180,1,121,-8,2,8-Aug,our SEATS WERE in the SECOND ROW,OUR SEAT,1,0,0,0,,1,4,0.25
72,-90,-1,173,-4,3,18-Jun,a TERMITE LOOKS like an ANT,,0,0,0,,,0,3,0
73,90,1,57,0,3,17-Jul,our CAT IS GOOD at CATCHING MICE,OUR CAT IS GOOD AT CATCHING MICE,1,1,1,1,,4,4,1
74,180,1,72,0,2,11-Mar,USE this SPRAY to KILL the BUGS,USE THIS SPRAY TO KILL THE BUGS,1,1,1,1,,4,4,1
75,180,1,142,-8,2,15-Feb,she SHORTENED the HEM of her SKIRT,SHE SHORTENED,1,0,0,,,1,3,0.333333333
76,-180,-1,171,-4,2,22-Jul,the BOTTLE WAS SEALED with a CORK,,0,0,0,0,,0,4,0
77,0,-1,144,0,1,20-Jan,he KILLED the DRAGON with his SWORD,HE KILLED THE DRAGON WITH HIS SWORD,1,1,1,,,3,3,1
78,90,1,19,-8,1,18-Feb,the FLOOD TOOK a HEAVY TOLL,WHOLE,0,0,0,0,,0,4,0
79,0,-1,88,-8,0,17-Apr,the BREAD WAS MADE from WHOLE WHEAT,WAIT,0,0,0,0,0,0,5,0
80,0,1,36,-4,1,17-Feb,the SHIPs CAPTAIN SUMMONED his CREW,SHE ACCEPTED STEW,0,0,0,0,,0,4,0
81,-90,-1,52,0,2,23-Jul,CUT the BACON into STRIPS,CUT THE BACON INTO STRIPS,1,1,1,,,3,3,1
82,-180,-1,14,-8,3,24-May,the BANDITS ESCAPED from JAIL,TEAM,0,0,0,,,0,3,0
83,180,1,62,-4,1,22-Jun,the BLOODHOUND FOLLOWED the TRAIL,FRIDGE,0,0,0,,,0,3,0
84,0,-1,32,-8,0,23-May,a CHIMPANZEE IS an APE,SHE THE BEAR,0,0,0,,,0,3,0
85,90,1,30,-8,1,2-Feb,the WATCHDOG GAVE a WARNING GROWL,THE BRUSH,0,0,0,0,,0,4,0
86,180,1,159,0,2,3-Jul,his PANTS WERE HELD up by a BELT,HIS PANTS WERE HELD UP BY A BELT,1,1,1,1,,4,4,1
87,0,1,190,-4,1,19-Apr,the CABIN WAS MADE of LOGS,LOST,0,0,0,0,,0,4,0
88,90,1,46,-4,0,25-May,the LANDLORD RAISED the RENT,WAIT,0,0,0,,,0,3,0
89,0,-1,156,0,2,21-Aug,BOB WAS CUT by the JACKKNIFEs BLADE,BOB WAS CUT BY THE JACKKNIFES BLADE,1,1,1,1,1,5,5,1
90,0,-1,41,-4,3,7-Jan,HOLD the BABY on your LAP,WHOSE BABY UP,0,1,0,,,1,3,0.333333333
91,180,1,138,-4,3,1-Jan,his PLANS MEANT TAKING a BIG RISK,BOOT,0,0,0,0,0,0,5,0
92,-180,-1,106,0,3,6-Jan,the DOCTOR PRESCRIBED the DRUG,THE DOCTOR PRESCRIBED THE DRUG,1,1,1,,,3,3,1
93,-90,-1,82,-4,0,5-Apr,RAISE the FLAG up the POLE,RAISE FLAG UP ,1,1,0,,,2,3,0.666666667
94,0,-1,182,-8,3,21-Mar,the LONELY BIRD SEARCHED for its MATE,SHE FOREST ME,0,0,0,0,,0,4,0
95,-180,-1,155,-8,1,10-May,the BOY TOOK SHELTER in a CAVE,,0,0,0,0,,0,4,0
96,0,-1,42,0,0,13-Jul,the MARKSMAN TOOK CAREFUL AIM,THE MARKSMAN TOOK CAREFUL AIM,1,1,1,1,,4,4,1
97,-90,-1,26,0,0,24-Feb,FOLLOW this ROAD around the BEND,FOLLOW THIS ROAD AROUND THE BEND,1,1,1,,,3,3,1
98,90,1,90,-8,0,23-Feb,HOUSEHOLD GOODS ARE MOVED in a VAN,TRUE,0,0,0,0,0,0,4,0
99,180,1,83,0,1,8-Feb,the DUCKS SWAM around on the POND,THE DUCKS SWAM AROUND THE POND,1,1,1,,,3,3,1
100,0,1,11,-8,1,23-Mar,the POND WAS FULL of CROAKING FROGS,THE POND WAS FULL OF FROGS,1,1,1,0,1,4,4,1
101,180,1,158,-8,1,25-Jan,he WAS SCARED out of his WITS,SCARED,0,1,0,,,1,3,0.333333333
102,90,1,111,0,2,16-Feb,the GUESTS WERE WELCOMED by the HOST,THE GUESTS WERE WELCOMED BY THE HOST,1,1,1,1,,4,4,1
103,0,-1,195,0,0,18-Apr,SPREAD SOME BUTTER on your BREAD,SPREAD SOME BUTTER ON YOUR BREAD,1,1,1,1,,4,4,1
104,0,-1,6,-4,3,11-Jun,he WAS HIT by a POISONED DART,,0,0,0,0,,0,4,0
