,A_Angle,B_Angle_sign,C_Masker,D_SNR,E_Talker,FG_Static,F_Sentence_ID,G_Sentence,H_Response,I_Input_1,J_Input_2,K_Input_3,L_Input_4,M_Input_5,Correct,Total,Percent
0,0,1,172,-6,3,TRUE,8-Jan,the DOG CHEWED on a BONE,WE DIDNT IMAGE THOSE DOGS,0,0,0,,,0,3,0
1,0,-1,115,-3,0,TRUE,9-Jan,the WAR WAS FOUGHT with ARMORED TANKS,HE DIDNT KNOW THIS WAS CHILDISH,0,1,0,0,0,1,5,0.2
2,0,-1,73,0,0,FALSE,17-Jul,our CAT IS GOOD at CATCHING MICE,OUR CAT IS GOOD AT CATCHING MICE,1,1,1,1,1,5,5,1
3,0,-1,30,-3,0,FALSE,19-Jul,how LONG CAN you HOLD your BREATH,HOW LONG IS THE BATH,1,0,0,0,,1,4,0.25
4,-180,-1,80,-3,2,FALSE,13-Feb,this NOZZLE SPRAYS a FINE MIST,HE SAID JOHN,0,0,0,0,,0,4,0
5,-90,-1,37,0,0,FALSE,6-Jul,they PLAYED a GAME of CAT and MOUSE,THEY PLAY THE GAME OF CAT AND MOUSE,0,1,1,1,,3,4,0.75
6,90,1,162,-6,0,FALSE,19-Aug,my JAW ACHES when I CHEW GUM,MY JAW HURTS WHEN APPLE ,1,0,0,0,0,1,5,0.2
7,-180,-1,120,-6,0,FALSE,11-Jun,he WAS HIT by a POISONED DART,CHARLES WALLIS ,0,0,0,0,,0,4,0
8,0,1,179,0,1,TRUE,20-Apr,the LION GAVE an ANGRY ROAR,THE LION GAVE AN ANGRY ROAR,1,1,1,1,,4,4,1
9,-90,-1,33,-3,0,FALSE,24-Jan,my SON HAS a DOG for a PET,THE DOG PASSED THE TRAIN,0,0,1,0,,1,4,0.25
10,-180,-1,99,0,3,FALSE,18-Aug,the RAILROAD TRAIN RAN off the TRACK,HE THE CRANE WAS DIFFERENT THAN THE TRAIN,0,1,0,0,,1,4,0.25
11,0,1,165,-6,2,FALSE,22-Feb,the SAND WAS HEAPED in a PILE,HE SAID HE DIDNT HAVE THE BAG,0,0,0,0,,0,4,0
