,A_Angle,B_Angle_sign,C_Masker,D_SNR,E_Talker,FG_Static,F_Sentence_ID,G_Sentence,H_Response,I_Input_1,J_Input_2,K_Input_3,L_Input_4,M_Input_5,Correct,Total,Percent
0,90,1,127,-6,0,FALSE,21-Jan,MARY WORE her HAIR in BRAIDS,,0,0,0,0,,0,4,0
1,90,1,63,-3,2,FALSE,6-Jun,"instead of a FENCE, PLANT a HEDGE",,0,0,0,,,0,3,0
2,-90,-1,62,0,1,FALSE,3-Jan,the PLOW WAS PULLED by an OX,THE PLOW WAS PULLED BY AN OX,1,1,1,1,,4,4,1
3,0,-1,137,-3,0,TRUE,1-Jan,his PLANS MEANT TAKING a BIG RISK,,0,0,0,0,0,0,5,0
4,-180,-1,92,0,0,FALSE,2-Mar,how MUCH CAN I BUY for a DIME,HOW MUCH CAN I BUY FOR A DIME,1,1,1,1,1,5,5,1
5,0,-1,143,-3,0,FALSE,5-Jul,MAPLE SYRUP is MADE from SAP,MAYBE,0,0,0,0,,0,4,0
6,0,-1,13,-6,3,FALSE,4-Feb,UNLOCK the DOOR and TURN the KNOB,,0,0,0,0,,0,4,0
7,-180,-1,31,-3,2,FALSE,22-Mar,please WIPE your FEET on the MAT,,0,0,0,,,0,3,0
8,0,1,156,-6,2,TRUE,17-Jan,the BEER DRINKERS RAISED their MUGS,,0,0,0,0,,0,4,0
9,180,1,195,-6,2,FALSE,7-Mar,the GIRL SWEPT the FLOOR with a BROOM,GIRL,1,0,0,0,,1,4,0.25
10,0,-1,114,0,1,FALSE,13-Jun,the SINGER WAS MOBBED by her FANS,THE SINGER WAS MOBBED BY HER FANS,1,1,1,1,,4,4,1
11,0,1,118,0,1,TRUE,7-Jan,HOLD the BABY on your LAP,,0,0,0,,,0,3,0
12,0,1,149,0,2,FALSE,8-Apr,TREE TRUNKS ARE COVERED with BARK,TREE TRUNKS ARE COVERED WITH BARK,1,1,1,1,1,5,5,1
13,-90,-1,16,-6,1,FALSE,3-May,the MOUSE WAS CAUGHT in the TRAP,THE MOUSE WAS CAUGHT IN THE TRAP,1,1,1,1,,4,4,1
14,0,1,36,-3,3,FALSE,15-Apr,i HAVE GOT a COLD and a SORE THROAT,THROAT,0,0,0,0,1,1,5,0.2
15,90,1,14,0,2,FALSE,15-Aug,the DROWNING MAN LET OUT a YELL,THE DROWNING MAN LET OUT A YELL,1,1,1,1,1,5,5,1
16,-90,-1,109,-3,0,FALSE,24-Feb,FOLLOW this ROAD around the BEND,AROUND THE BEND,0,0,1,,,1,3,0.333333333
17,0,-1,131,-6,1,TRUE,2-Aug,i CUT my FINGER with a KNIFE,,0,0,0,,,0,3,0
18,180,1,48,0,3,FALSE,17-Jul,our CAT IS GOOD at CATCHING MICE,OUR CAT IS GOOD AT CATCHING MICE,0,0,0,0,0,0,5,0
19,0,-1,6,-3,1,TRUE,2-Jan,STIR your COFFEE with a SPOON,,0,0,0,,,0,3,0
20,180,1,83,-3,1,FALSE,21-Feb,the DOOR WAS OPENED just a CRACK,THE DOOR WAS OPEN JUST A CRACK,1,1,0,1,,3,4,0.75
21,0,1,148,-6,0,FALSE,19-May,BOB WORE a WATCH on his WRIST,WORE A WATCH ON HIS WRIST,0,1,1,1,,3,4,0.75
