,A_Angle,B_Angle_sign,C_Masker,D_SNR,E_Talker,FG_Static,F_Sentence_ID,G_Sentence,H_Response,I_Input_1,J_Input_2,K_Input_3,L_Input_4,M_Input_5,Correct,Total,Percent
0,180,1,167,0,2,FALSE,21-Mar,the LONELY BIRD SEARCHED for its MATE,THE LONELY BIRD,1,1,0,0,,2,4,0.5
1,0,1,80,-6,3,FALSE,9-Jun,the WIDOWs SOB EXPRESSED her GRIEF,,0,0,0,0,,0,4,0
2,0,1,16,-6,3,TRUE,21-Aug,BOB WAS CUT by the JACKKNIFEs BLADE,HE WAS A SMALL,0,1,0,0,0,1,5,0.2
3,0,-1,183,-3,0,FALSE,4-Apr,your KNEES and your ELBOWS ARE JOINTS,YOU CAN FIND A HOME,0,0,0,0,,0,4,0
4,90,1,187,-6,0,FALSE,21-Jan,MARY WORE her HAIR in BRAIDS,,0,0,0,0,,0,4,0
5,90,1,9,0,1,FALSE,15-Jan,the SUPER HIGHWAY HAS SIX LANES,THE SUPER HIGHWAY HAS SIX LANES,1,1,1,1,1,5,5,1
6,90,1,150,-3,0,FALSE,24-Feb,FOLLOW this ROAD around the BEND,THE WET,0,0,0,,,0,3,0
7,0,1,164,0,0,FALSE,11-Apr,we SAW a FLOCK of WILD GEESE,WE SAW A FLOCK OF WILD GEESE,1,1,1,1,,4,4,1
8,-180,-1,67,-3,3,FALSE,6-Jul,they PLAYED a GAME of CAT and MOUSE,,0,0,0,0,,0,4,0
9,0,1,199,0,1,TRUE,17-Feb,the SHIPs CAPTAIN SUMMONED his CREW,THE IS,0,0,0,0,,0,4,0
10,-180,-1,7,-6,1,FALSE,2-Aug,i CUT my FINGER with a KNIFE,,0,0,0,,,0,3,0
11,0,-1,113,-3,1,TRUE,13-Feb,this NOZZLE SPRAYS a FINE MIST,WOULD YOU CARE FOR SOME HOT CHOCOLATE,0,0,0,0,,0,4,0
12,90,1,197,0,0,FALSE,13-May,the JUDGE IS SITTING on the BENCH,THE JUDGE IS SITTING ON THE BENCH,1,1,1,1,,4,4,1
13,-90,-1,94,-6,2,FALSE,16-Feb,the GUESTS WERE WELCOMED by the HOST,THE GUESTS ,1,0,0,0,,1,4,0.25
14,0,1,59,-6,1,TRUE,13-Aug,the BAD NEWS CAME as a SHOCK,HE LEFT BEFORE PRINCE CHARLES,0,0,0,0,,0,4,0
15,0,-1,195,-3,3,TRUE,16-May,the SWIMMER DOVE into the POOL,,0,0,0,,,0,3,0
16,-180,-1,60,0,0,FALSE,23-Jul,CUT the BACON into STRIPS,CUT THE BACON INTO STRIPS,1,1,1,,,3,3,1
17,-180,-1,180,-3,2,FALSE,14-Aug,a SPOILED CHILD IS a BRAT,,0,0,0,0,,0,4,0
18,0,-1,174,-6,0,FALSE,19-Jul,how LONG CAN you HOLD your BREATH,HOW LONG CAN YOU HOLD YOUR BREATH,1,1,1,1,,4,4,1
19,0,-1,176,0,0,TRUE,1-Mar,KILL the BUGS with this SPRAY,SPRAY,0,0,1,,,1,3,0.333333333
